date,cases
2020/1/16,1
2020/1/18,0
2020/1/19,0
2020/1/20,0
2020/1/21,0
2020/1/22,0
2020/1/23,0
2020/1/24,1
2020/1/25,1
2020/1/26,1
2020/1/27,0
2020/1/28,3
2020/1/29,1
2020/1/30,4
2020/1/31,0
2020/2/1,0
2020/2/2,0
2020/2/3,0
2020/2/4,1
2020/2/5,2
2020/2/6,0
2020/2/7,0
2020/2/8,0
2020/2/9,0
2020/2/10,0
2020/2/11,1
2020/2/12,1
2020/2/13,3
2020/2/14,5
2020/2/15,4
2020/2/16,1
2020/2/17,6
2020/2/18,8
2020/2/19,9
2020/2/20,8
2020/2/21,13
2020/2/22,23
2020/2/23,10
2020/2/24,16
2020/2/25,8
2020/2/26,22
2020/2/27,24
2020/2/28,19
2020/2/29,9
2020/3/1,14
2020/3/2,14
2020/3/3,22
2020/3/4,34
2020/3/5,33
2020/3/6,54
2020/3/7,44
2020/3/8,35
2020/3/9,27
2020/3/10,60
2020/3/11,52
2020/3/12,55
2020/3/13,34
2020/3/14,62
2020/3/15,29
2020/3/16,16
2020/3/17,45
2020/3/18,39
2020/3/19,39
2020/3/20,52
2020/3/21,35
2020/3/22,45
2020/3/23,39
2020/3/24,89
2020/3/25,93
2020/3/26,93
2020/3/27,96
2020/3/28,222
2020/3/29,151
2020/3/30,80
2020/3/31,227
2020/4/1,257
2020/4/2,281
2020/4/3,353
2020/4/4,365
2020/4/5,346
2020/4/6,248
2020/4/7,365
2020/4/8,522
2020/4/9,574
2020/4/10,640
2020/4/11,644
2020/4/12,486
2020/4/13,387
2020/4/14,446
2020/4/15,552
2020/4/16,558
2020/4/17,572
2020/4/18,577
2020/4/19,377
2020/4/20,346
2020/4/21,389
2020/4/22,446
2020/4/23,439
2020/4/24,444
2020/4/25,371
2020/4/26,224
2020/4/27,182
2020/4/28,279
2020/4/29,217
2020/4/30,202
2020/5/1,282
2020/5/2,288
2020/5/3,195
2020/5/4,181
2020/5/5,119
2020/5/6,104
2020/5/7,107
2020/5/8,88
2020/5/9,108
2020/5/10,66
2020/5/11,58
2020/5/12,87
2020/5/13,55
2020/5/14,99
2020/5/15,55
2020/5/16,56
2020/5/17,29
2020/5/18,30
2020/5/19,32
2020/5/20,37
2020/5/21,45
2020/5/22,30
2020/5/23,30
2020/5/24,40
2020/5/25,22
2020/5/26,27
2020/5/27,37
2020/5/28,62
2020/5/29,63
2020/5/30,46
2020/5/31,33
2020/6/1,36
2020/6/2,51
2020/6/3,26
2020/6/4,45
2020/6/5,41
2020/6/6,45
2020/6/7,32
2020/6/8,22
2020/6/9,30
2020/6/10,36
2020/6/11,40
2020/6/12,57
2020/6/13,43
2020/6/14,62
2020/6/15,60
2020/6/16,42
2020/6/17,43
2020/6/18,68
2020/6/19,54
2020/6/20,65
2020/6/21,48
2020/6/22,40
2020/6/23,53
2020/6/24,89
2020/6/25,79
2020/6/26,99
2020/6/27,88
2020/6/28,111
2020/6/29,110
2020/6/30,132
2020/7/1,125
2020/7/2,194
2020/7/3,249
2020/7/4,268
2020/7/5,195
2020/7/6,174
2020/7/7,203
2020/7/8,203
2020/7/9,352
2020/7/10,418
2020/7/11,374
2020/7/12,390
2020/7/13,246
2020/7/14,326
2020/7/15,438
2020/7/16,619
2020/7/17,588
2020/7/18,654
2020/7/19,501
2020/7/20,405
2020/7/21,618
2020/7/22,792
2020/7/23,966
2020/7/24,766
2020/7/25,796
2020/7/26,834
2020/7/27,583
2020/7/28,971
2020/7/29,1245
2020/7/30,1305
2020/7/31,1575
2020/8/1,1537
2020/8/2,1325
2020/8/3,941
2020/8/4,1240
2020/8/5,1344
2020/8/6,1479
2020/8/7,1597
2020/8/8,1521
2020/8/9,1485
2020/8/10,829
2020/8/11,691
2020/8/12,969
2020/8/13,1175
2020/8/14,1355
2020/8/15,1233
2020/8/16,1015
2020/8/17,630
2020/8/18,903
2020/8/19,1078
2020/8/20,1176
2020/8/21,1035
2020/8/22,985
2020/8/23,737
2020/8/24,491
2020/8/25,709
2020/8/26,893
2020/8/27,870
2020/8/28,869
2020/8/29,841
2020/8/30,598
2020/8/31,430
2020/9/1,624
2020/9/2,585
2020/9/3,654
2020/9/4,582
2020/9/5,598
2020/9/6,447
2020/9/7,285
2020/9/8,510
2020/9/9,507
2020/9/10,709
2020/9/11,637
2020/9/12,639
2020/9/13,438
2020/9/14,262
2020/9/15,530
2020/9/16,543
2020/9/17,478
2020/9/18,569
2020/9/19,592
2020/9/20,469
2020/9/21,306
2020/9/22,321
2020/9/23,216
2020/9/24,475
2020/9/25,567
2020/9/26,634
2020/9/27,478
2020/9/28,294
2020/9/29,527
2020/9/30,569
2020/10/1,619
2020/10/2,537
2020/10/3,562
2020/10/4,394
2020/10/5,269
2020/10/6,495
2020/10/7,502
2020/10/8,623
2020/10/9,594
2020/10/10,666
2020/10/11,431
2020/10/12,272
2020/10/13,491
2020/10/14,550
2020/10/15,703
2020/10/16,633
2020/10/17,611
2020/10/18,422
2020/10/19,313
2020/10/20,475
2020/10/21,611
2020/10/22,609
2020/10/23,742
2020/10/24,712
2020/10/25,486
2020/10/26,401
2020/10/27,646
2020/10/28,724
2020/10/29,803
2020/10/30,767
2020/10/31,866
2020/11/1,603
2020/11/2,480
2020/11/3,860
2020/11/4,606
2020/11/5,1046
2020/11/6,1137
2020/11/7,1301
2020/11/8,934
2020/11/9,770
2020/11/10,1276
2020/11/11,1540
2020/11/12,1624
2020/11/13,1703
